key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2022-03-02T10:25:00-05:00,True,False,2022-03-02 10:25:00-05:00,2022-03-02 10:25:00-05:00,0.0,2022-03-02 10:25:00-05:00,2022-03-02 10:25:00-05:00,0.0,True,False,short,-1.106,,False
2022-03-08T11:20:00-05:00,True,False,2022-03-08 11:20:00-05:00,2022-03-08 11:30:00-05:00,10.0,2022-03-08 11:20:00-05:00,2022-03-08 11:20:00-05:00,0.0,True,False,long,-1.009,,False
2022-03-09T10:00:00-05:00,True,False,2022-03-09 10:00:00-05:00,2022-03-09 10:00:00-05:00,0.0,2022-03-09 10:00:00-05:00,2022-03-09 10:00:00-05:00,0.0,True,False,short,-1.018,,False
2022-03-14T10:20:00-04:00,False,True,2022-03-14 10:20:00-04:00,2022-03-14 11:35:00-04:00,75.0,2022-03-14 11:05:00-04:00,2022-03-14 11:05:00-04:00,45.0,False,False,long,-1.006,,False
2022-03-17T10:35:00-04:00,True,False,2022-03-17 10:35:00-04:00,2022-03-17 10:45:00-04:00,10.0,2022-03-17 10:35:00-04:00,2022-03-17 10:35:00-04:00,0.0,True,False,long,-1.019,,False
2022-03-24T09:40:00-04:00,True,False,2022-03-24 09:40:00-04:00,2022-03-24 09:40:00-04:00,0.0,2022-03-24 09:40:00-04:00,2022-03-24 09:40:00-04:00,0.0,True,False,short,-1.021,,False
2022-03-24T10:00:00-04:00,True,False,2022-03-24 10:00:00-04:00,2022-03-24 10:05:00-04:00,5.0,2022-03-24 10:00:00-04:00,2022-03-24 10:00:00-04:00,0.0,True,False,short,-0.016,,False
2022-03-25T09:45:00-04:00,True,False,2022-03-25 09:45:00-04:00,2022-03-25 09:55:00-04:00,10.0,2022-03-25 09:45:00-04:00,2022-03-25 09:45:00-04:00,0.0,True,False,short,1.491,,True
2022-03-30T10:05:00-04:00,True,False,2022-03-30 10:05:00-04:00,2022-03-30 10:10:00-04:00,5.0,2022-03-30 10:05:00-04:00,2022-03-30 10:05:00-04:00,0.0,True,False,long,1.489,,True
2022-04-01T10:05:00-04:00,False,True,2022-04-01 10:05:00-04:00,2022-04-01 10:50:00-04:00,45.0,2022-04-01 10:40:00-04:00,2022-04-01 10:40:00-04:00,35.0,False,False,short,-1.016,,False
2022-04-07T09:45:00-04:00,True,False,2022-04-07 09:45:00-04:00,2022-04-07 10:00:00-04:00,15.0,2022-04-07 09:45:00-04:00,2022-04-07 09:45:00-04:00,0.0,True,False,long,1.495,,True
2022-04-13T09:55:00-04:00,False,True,2022-04-13 09:55:00-04:00,2022-04-13 12:20:00-04:00,145.0,2022-04-13 10:35:00-04:00,2022-04-13 10:35:00-04:00,40.0,False,False,long,1.498,,True
2022-04-18T09:40:00-04:00,True,False,2022-04-18 09:40:00-04:00,2022-04-18 09:50:00-04:00,10.0,2022-04-18 09:40:00-04:00,2022-04-18 09:40:00-04:00,0.0,True,False,long,-0.013,,False
