model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,pullback_limit,none,0.25-0.75,atr1.0,1.5R,355,0.655,0.4817,0.9381,-0.0142,-5.046,-10.525,dead,False
fill,conf15,pullback_limit,none,0.25-0.75,atr1.0,2R,355,0.655,0.4789,0.8965,-0.0238,-8.461,-14.44,dead,False
fill,conf15,pullback_limit,none,0.25-0.75,atr1.5,prior_close,355,0.655,0.5352,0.7978,-0.0292,-10.349,-13.657,dead,False
fill,conf15,pullback_limit,none,0.25-0.75,atr1.5,half_gap,355,0.655,0.6394,0.6143,-0.0466,-16.541,-17.94,dead,True
fill,conf15,pullback_limit,none,0.25-0.75,atr1.5,1.5R,355,0.655,0.4817,0.8988,-0.0157,-5.579,-9.895,dead,False
fill,conf15,pullback_limit,none,0.25-0.75,atr1.5,2R,355,0.655,0.4817,0.8946,-0.0164,-5.808,-9.895,dead,False
fill,conf15,pullback_limit,none,0.75-1.25,open_buffer,prior_close,71,0.131,0.1549,0.5948,-0.3998,-28.385,-31.671,sub_floor,True
fill,conf15,pullback_limit,none,0.75-1.25,open_buffer,half_gap,71,0.131,0.2113,0.6315,-0.3493,-24.803,-24.121,sub_floor,True
fill,conf15,pullback_limit,none,0.75-1.25,open_buffer,1.5R,71,0.131,0.3662,0.6271,-0.2835,-20.13,-23.107,sub_floor,True
fill,conf15,pullback_limit,none,0.75-1.25,open_buffer,2R,71,0.131,0.2958,0.63,-0.3117,-22.13,-22.479,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.0,prior_close,71,0.131,0.4366,0.9067,-0.0261,-1.856,-7.065,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.0,half_gap,71,0.131,0.5352,0.8772,-0.0303,-2.155,-6.212,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.0,1.5R,71,0.131,0.3944,0.7496,-0.0753,-5.348,-10.931,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.0,2R,71,0.131,0.3944,0.8432,-0.0472,-3.348,-10.931,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.5,prior_close,71,0.131,0.4366,0.9272,-0.0133,-0.945,-5.45,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.5,half_gap,71,0.131,0.5352,0.9051,-0.0152,-1.076,-4.813,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.5,1.5R,71,0.131,0.3944,0.8575,-0.0287,-2.036,-8.361,sub_floor,False
fill,conf15,pullback_limit,none,0.75-1.25,atr1.5,2R,71,0.131,0.3944,0.8395,-0.0323,-2.292,-8.361,sub_floor,False
