range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
15m,1m,20,asia,W2,exit3,3.0,,,,4363,6.7449,33.7,0.44,-0.443,-1933.1,-1932.0,3.17
15m,1m,20,asia,W3,fixed2r,1.0,,mid,False,10,0.0155,40.0,0.43,-0.643,-6.4,-4.1,1.72
15m,1m,20,asia,W3,exit3,1.0,,mid,False,10,0.0155,40.0,0.28,-0.743,-7.4,-4.3,1.72
15m,1m,20,asia,W3+W11,fixed2r,1.0,,mid,True,2,0.0031,0.0,0.0,-2.734,-5.5,-2.4,0.72
15m,1m,20,asia,W3+W11,exit3,1.0,,mid,True,2,0.0031,0.0,0.0,-2.734,-5.5,-2.4,0.72
15m,1m,20,asia,W3,fixed2r,1.0,,high,False,1,0.0015,0.0,0.0,-1.288,-1.3,0.0,4.16
15m,1m,20,asia,W3,exit3,1.0,,high,False,1,0.0015,0.0,0.0,-1.288,-1.3,0.0,4.16
15m,1m,20,asia,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
15m,1m,20,asia,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
15m,1m,20,asia,W3,fixed2r,3.0,,mid,False,14,0.0216,35.7,0.29,-1.021,-14.3,-11.4,1.16
15m,1m,20,asia,W3,exit3,3.0,,mid,False,14,0.0216,35.7,0.17,-1.128,-15.8,-12.7,1.16
15m,1m,20,asia,W3+W11,fixed2r,3.0,,mid,True,2,0.0031,0.0,0.0,-3.159,-6.3,-3.2,0.55
